224	inv_jewelry_ring_03
242	inv_boots_01
245	inv_boots_01
249	inv_boots_01
257	inv_boots_01
261	inv_boots_01
292	inv_potion_08
295	inv_boots_02
311	inv_boots_01
362	inv_misc_bag_01
365	inv_pants_02
368	inv_pants_02
369	inv_shirt_01
370	inv_pants_02
371	inv_shirt_01
372	inv_pants_02
373	inv_shirt_01
374	inv_pants_02
383	inv_shirt_01
386	inv_pants_02
387	inv_shirt_01
392	inv_pants_02
393	inv_shirt_01
394	inv_pants_02
395	inv_shirt_01
396	inv_pants_02
472	inv_staff_08
557	inv_misc_bowl_01
568	inv_misc_monsterscales_03
634	inv_scroll_04
685	inv_pants_03
687	inv_pants_03
691	inv_pants_02
697	inv_pants_03
703	inv_boots_wolf
782	inv_axe_04
811	inv_scroll_03
845	inv_boots_09
859	inv_sword_04
924	inv_scroll_03
926	inv_potion_01
928	inv_misc_branch_01
929	inv_tradeskillitem_03
959	inv_misc_monsterfang_01
963	inv_jewelry_ring_03
972	inv_gauntlets_05
977	inv_chest_chain
981	inv_misc_bag_02
983	inv_potion_09
992	inv_scroll_01
1007	inv_misc_net_01
1013	inv_scroll_02
1019	inv_chest_chain
1025	inv_misc_bag_05
1026	inv_potion_09
1037	inv_scroll_08
1041	inv_misc_food_10
1046	inv_jewelry_ring_01
1057	inv_shoulder_08
1058	inv_shoulder_08
1069	inv_scroll_01
1087	inv_misc_food_05
1093	inv_scroll_07
1096	inv_scroll_04
1097	inv_scroll_05
1102	inv_scroll_03
1103	inv_misc_book_07
1116	inv_misc_food_16
1121	inv_sword_04
1134	inv_misc_book_10
1143	inv_misc_book_09
1150	inv_potion_08
1151	inv_misc_monsterfang_01
1155	inv_misc_book_08
1168	inv_misc_bag_10
1183	inv_misc_bag_10
1208	inv_misc_fish_02
1215	inv_potion_16
1225	inv_misc_bone_04
1236	inv_misc_gear_06
1244	inv_misc_bag_07
1246	inv_misc_book_06
1249	inv_potion_15
1257	inv_misc_urn_01
1262	inv_misc_gem_stone_01
1270	inv_misc_pocketwatch_02
1272	inv_misc_bandana_03
1275	inv_potion_12
1277	inv_misc_bag_09_green
1281	inv_misc_bag_09_black
1282	inv_misc_bag_10_black
1283	inv_misc_bag_07_black
1285	inv_misc_bag_11
1288	inv_potion_19
1297	inv_misc_food_wheat_01
1301	inv_scroll_03
1310	inv_misc_head_orc_01
1312	inv_tradeskillitem_01
